community_id,is_filter_hashtag,keyword
breaking-news,true,"MLB, trending, Trending, celebrity, kpop, baseball, soccer, football, music, crypto, sport, WWE, BlackFriday, NFL"
breaking-news,false,"horoscope, Black Friday, NFL"
nature-wildlife,true,"space, astrophotography, art, mastoart, AI, midjourney"
nature-wildlife,false,"photography, landscape, bloomscrolling, fractals, pathway, chair, art, MastoChien, bush"
ai,true,aiart
ai,false," aiartist , aiartists , artist,  art, octopus, dogs, pets,  #AIART , AIArtistCommunity , aiartist, AIArtGallery, aiartcommunity , AIArtwork , midjourney , midjourneyai , generativeai"
physics,true,""
physics,false,"#mastoart, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto, gamedev, fios, crypto"
visual-arts,true,"ai, aiart, artwork, AI, comics, drawing, painting, artforsale, inktober, anime, muppets, math, science, yume2kki, music, musique, FanArt, Pinktober, Pinktober_3, scifi_art, fanart, mastoart, mastodonart, DigitalArt, artia, ArtIA"
visual-arts,false,AI
social-sciences,true,"meditation, mindfulness, statistics, Statistics"
social-sciences,false,"#mastoart, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto, #introduction, emaillist, datasciencecourse, statistics, statistic, Statistics"
architecture-design,true,midjourney
architecture-design,false,"#devops, devops"
sport,true,"golfclash, golfgirlvideos, BlueJays, NFL, GreenBayPackers, NationalFootballLeague, rangers, icehockey, football, AmericanFootball, 49ers, Patriots, fantasy, fantasysports, RedSox, Leafs, haiku, Rams, premierleague, theNFL, Chiefs, Football, Stars, WinnipegBaseball, winnipegbaseball, PremierLeague, TaylorSwift, Kelce, ManCity"
sport,false,"Dodgers, Yankees, WNBA, Jets, Tigers, Bengals, Reds, phillies, nfl, Cardinals, Knights, Red Wings, Eagles, Packers, Bears, Bills, Broncos, Raiders, Dolphins, Ravens, Commanders, Texans, Colts, Buccaneers, Chargers, Cowboys, Browns, Patriots, Vikings, Seahawks, Saints, Jaguars, superbowl, Sox, Islanders, Cincinnati, Titans, Kansas, Philadelphia, toronto, Colorado, college, Pistons, Premier League, Giants, MLB, NHL, NBA, chiefs, Mets, Lions, Blackhawks, Orioles, Penguins, Oilers, Rangers, Lakers, Stars, Magic, cubs, Goldeyes, Chelsea, Football, Kickers"
food-drink,true,Ox
food-drink,false,"mutualaid, financial aid, monsters, CSEStocks, children"
hunger-disease-water,true,"nowplaying, CanzoneDiNotte, NowPlaying, NowListening, hackadaylinks, nowlistening, coffeebreak, CoffeeBreak, coffeeBreak, FediRadio, GoodMorning"
hunger-disease-water,false,lyric video
history,true,""
history,false,"#mastoart, #Midjourney, #MidjourneyAI, #MidjourneyArt, #DigitalArt, #AIArt, #furry, #furryart, porn, porno, pornography, #Coinbase, Etsy, eBay, #NFT, #Bitcoin, #cryptotrading, #Crypto, #onthisday, #historymeme, #battleofjutland, #historymemes "
news-comment-data,true,"tv, sport, music_news, sailnews, toryscum, studyatUL, zionazi, Wordle, мовник, bollygossips, hackingnews, MovieReview"
news-comment-data,false,"letter, letters, sports, football, soccer, bollywood, Trailers, haiku, trailers, Reviews, comicbooks, localnews, datasette, LAZARUS, Cyber, nsfw, pro-rapists, Pro-rapists"
books-literature,true,"mastoart, art"
books-literature,false,fraud
