#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
loaded.sixguns.com,suspend,false,false,"",false
newsbeep.org,suspend,false,false,"",false
pubeurope.com,suspend,false,false,"",false
13bells.com,suspend,false,false,Oliphant Tier 3,false
1611.social,suspend,false,false,Oliphant Tier 3,false
4aem.com,suspend,false,false,Oliphant Tier 3,false
5dollah.click,suspend,false,false,Oliphant Tier 3,false
adachi.party,suspend,false,false,Oliphant Tier 3,false
adtension.com,suspend,false,false,Oliphant Tier 3,false
annihilation.social,suspend,false,false,Oliphant Tier 3,false
anon-kenkai.com,suspend,false,false,Oliphant Tier 3,false
asbestos.cafe,suspend,false,false,Oliphant Tier 3,false
bae.st,suspend,false,false,Oliphant Tier 3,false
banepo.st,suspend,false,false,Oliphant Tier 3,false
battlepenguin.video,suspend,false,false,Oliphant Tier 3,false
beefyboys.win,suspend,false,false,Oliphant Tier 3,false
boymoder.biz,suspend,false,false,Oliphant Tier 3,false
brainsoap.net,suspend,false,false,Oliphant Tier 3,false
breastmilk.club,suspend,false,false,Oliphant Tier 3,false
brighteon.social,suspend,false,false,Oliphant Tier 3,false
0w0.is,suspend,false,false,Oliphant Tier 3,false
canary.fedinuke.example.com,suspend,false,false,Oliphant Tier 3,false
catgirl.life,suspend,false,false,Oliphant Tier 3,false
3zi.ru,suspend,false,false,Oliphant Tier 3,false
childlove.su,suspend,false,false,Oliphant Tier 3,false
clew.lol,suspend,false,false,Oliphant Tier 3,false
clubcyberia.co,suspend,false,false,Oliphant Tier 3,false
cottoncandy.cafe,suspend,false,false,Oliphant Tier 3,false
crucible.world,suspend,false,false,Oliphant Tier 3,false
cum.camp,suspend,false,false,Oliphant Tier 3,false
cum.salon,suspend,false,false,Oliphant Tier 3,false
cunnyborea.space,suspend,false,false,Oliphant Tier 3,false
decayable.ink,suspend,false,false,Oliphant Tier 3,false
dembased.xyz,suspend,false,false,Oliphant Tier 3,false
detroitriotcity.com,suspend,false,false,Oliphant Tier 3,false
djsumdog.com,suspend,false,false,Oliphant Tier 3,false
eientei.org,suspend,false,false,Oliphant Tier 3,false
eveningzoo.club,suspend,false,false,Oliphant Tier 3,false
ai8w.ddns.net,suspend,false,false,Oliphant Tier 3,false
foxgirl.lol,suspend,false,false,Oliphant Tier 3,false
freak.university,suspend,false,false,Oliphant Tier 3,false
freeatlantis.com,suspend,false,false,Oliphant Tier 3,false
freespeechextremist.com,suspend,false,false,Oliphant Tier 3,false
froth.zone,suspend,false,false,Oliphant Tier 3,false
gameliberty.club,suspend,false,false,Oliphant Tier 3,false
gearlandia.haus,suspend,false,false,Oliphant Tier 3,false
genderheretics.xyz,suspend,false,false,Oliphant Tier 3,false
geofront.rocks,suspend,false,false,Oliphant Tier 3,false
gleasonator.com,suspend,false,false,Oliphant Tier 3,false
glee.li,suspend,false,false,Oliphant Tier 3,false
glindr.org,suspend,false,false,Oliphant Tier 3,false
goyim.app,suspend,false,false,Oliphant Tier 3,false
h5q.net,suspend,false,false,Oliphant Tier 3,false
haeder.net,suspend,false,false,Oliphant Tier 3,false
handholding.io,suspend,false,false,Oliphant Tier 3,false
hitchhiker.social,suspend,false,false,Oliphant Tier 3,false
iddqd.social,suspend,false,false,Oliphant Tier 3,false
kitsunemimi.club,suspend,false,false,Oliphant Tier 3,false
kiwifarms.cc,suspend,false,false,Oliphant Tier 3,false
kurosawa.moe,suspend,false,false,Oliphant Tier 3,false
kyaruc.moe,suspend,false,false,Oliphant Tier 3,false
leafposter.club,suspend,false,false,Oliphant Tier 3,false
liberdon.com,suspend,false,false,Oliphant Tier 3,false
ligma.pro,suspend,false,false,Oliphant Tier 3,false
loli.church,suspend,false,false,Oliphant Tier 3,false
lolicon.rocks,suspend,false,false,Oliphant Tier 3,false
lolison.network,suspend,false,false,Oliphant Tier 3,false
lolison.top,suspend,false,false,Oliphant Tier 3,false
lovingexpressions.net,suspend,false,false,Oliphant Tier 3,false
makemysarcophagus.com,suspend,false,false,Oliphant Tier 3,false
mastinator.com,suspend,false,false,Oliphant Tier 3,false
merovingian.club,suspend,false,false,Oliphant Tier 3,false
midwaytrades.com,suspend,false,false,Oliphant Tier 3,false
mirr0r.city,suspend,false,false,Oliphant Tier 3,false
morale.ch,suspend,false,false,Oliphant Tier 3,false
mouse.services,suspend,false,false,Oliphant Tier 3,false
mugicha.club,suspend,false,false,Oliphant Tier 3,false
narrativerry.xyz,suspend,false,false,Oliphant Tier 3,false
akko.hollow.capital,suspend,false,false,Oliphant Tier 3,false
nationalist.social,suspend,false,false,Oliphant Tier 3,false
needs.vodka,suspend,false,false,Oliphant Tier 3,false
neenster.org,suspend,false,false,Oliphant Tier 3,false
nicecrew.digital,suspend,false,false,Oliphant Tier 3,false
nnia.space,suspend,false,false,Oliphant Tier 3,false
noagendasocial.com,suspend,false,false,Oliphant Tier 3,false
noagendasocial.nl,suspend,false,false,Oliphant Tier 3,false
noagendatube.com,suspend,false,false,Oliphant Tier 3,false
nobodyhasthe.biz,suspend,false,false,Oliphant Tier 3,false
norwoodzero.net,suspend,false,false,Oliphant Tier 3,false
nyanide.com,suspend,false,false,Oliphant Tier 3,false
anarres.family,suspend,false,false,Oliphant Tier 3,false
parcero.bond,suspend,false,false,Oliphant Tier 3,false
pawlicker.com,suspend,false,false,Oliphant Tier 3,false
pawoo.net,suspend,false,false,Oliphant Tier 3,false
pedo.school,suspend,false,false,Oliphant Tier 3,false
peervideo.club,suspend,false,false,Oliphant Tier 3,false
piazza.today,suspend,false,false,Oliphant Tier 3,false
pibvt.net,suspend,false,false,Oliphant Tier 3,false
pieville.net,suspend,false,false,Oliphant Tier 3,false
pisskey.io,suspend,false,false,Oliphant Tier 3,false
plagu.ee,suspend,false,false,Oliphant Tier 3,false
poast.org,suspend,false,false,Oliphant Tier 3,false
poast.tv,suspend,false,false,Oliphant Tier 3,false
poster.place,suspend,false,false,Oliphant Tier 3,false
prospeech.space,suspend,false,false,Oliphant Tier 3,false
quodverum.com,suspend,false,false,Oliphant Tier 3,false
r18.social,suspend,false,false,Oliphant Tier 3,false
rakket.app,suspend,false,false,Oliphant Tier 3,false
rapemeat.express,suspend,false,false,Oliphant Tier 3,false
rapemeat.solutions,suspend,false,false,Oliphant Tier 3,false
rayci.st,suspend,false,false,Oliphant Tier 3,false
rebelbase.site,suspend,false,false,Oliphant Tier 3,false
ryona.agency,suspend,false,false,Oliphant Tier 3,false
sad.cab,suspend,false,false,Oliphant Tier 3,false
schwartzwelt.xyz,suspend,false,false,Oliphant Tier 3,false
seal.cafe,suspend,false,false,Oliphant Tier 3,false
shaw.app,suspend,false,false,Oliphant Tier 3,false
shigusegubu.club,suspend,false,false,Oliphant Tier 3,false
shitpost.cloud,suspend,false,false,Oliphant Tier 3,false
shortstacksran.ch,suspend,false,false,Oliphant Tier 3,false
silliness.observer,suspend,false,false,Oliphant Tier 3,false
