username,domain,name,slug,is_primary
daniel_mckeon,newsmast.social,TV & Radio,tv_radio,false
alice11,newsmast.social,Humour,humour,false
JayAySevenTwo,newsmast.social,"Hunger, Disease & Water",hunger_disease_water,false
Stephen,newsmast.social,Journalism & Comment,news_comment_data,false
jannus,newsmast.social,Technology,technology,false
mariana_b,newsmast.social,Nature & Wildlife,nature_wildlife,false
dannyweller,newsmast.social,Sport,sport,false
Kayleigh,newsmast.social,Disabled Voices,disabled_voices,false
Headfort,newsmast.social,Government & Policy,government_policy,false
zerotwo,newsmast.social,"Hunger, Disease & Water",hunger_disease_water,true
askchefdennis,newsmast.social,Breaking News,breaking_news,false
orianavmatos,newsmast.social,Government & Policy,government_policy,true
icey_mark,newsmast.social,Government & Policy,government_policy,false
seb_bw,newsmast.social,Government & Policy,government_policy,true
Kayleigh,newsmast.social,Humanities,humanities,false
PolGeoNow,newsmast.social,Government & Policy,government_policy,false
JackMoulton,newsmast.social,Government & Policy,government_policy,false
Dragonholley,mastodon.social,Nature & Wildlife,nature_wildlife,false
Kayleigh,newsmast.social,Government & Policy,government_policy,false
Dragonholley,mastodon.social,Performing Arts,performing_arts,false
Nyein,newsmast.social,Workers Rights,workers_rights,false
clairejuliaart,newsmast.social,Activism & Civil Rights,activism_civil_rights,false
EV_Musings,newsmast.social,Technology,technology,true
SustMeme,newsmast.social,Technology,technology,false
JulieSpray,newsmast.social,Government & Policy,government_policy,false
GraceReckers,newsmast.social,Government & Policy,government_policy,false
simonerochembe,newsmast.social,Technology,technology,false
samf,newsmast.social,Government & Policy,government_policy,false
candice_chirwa,newsmast.social,Government & Policy,government_policy,false
zerotwo,newsmast.social,Biodiversity & Rewilding,biodiversity_rewilding,false
enangha,newsmast.social,Ukraine Invasion,ukraine_invasion,false
MarieGeneste,newsmast.social,Technology,technology,false
peter,newsmast.social,Technology,technology,false
Thomas,newsmast.social,Philosophy,philosophy,false
Thomas,newsmast.social,Activism & Civil Rights,activism_civil_rights,false
Thomas,newsmast.social,Ukraine Invasion,ukraine_invasion,true
Crof,newsmast.social,Government & Policy,government_policy,false
luisaropio,newsmast.social,Government & Policy,government_policy,false
zerotwo,newsmast.social,Climate change,climate_change,false
jessa,newsmast.social,Government & Policy,government_policy,true
FrontSeatPhil,newsmast.social,Technology,technology,true
zerotwo,newsmast.social,Democracy & Human Rights,democracy_human_rights,false
Dr_Finbar,newsmast.social,Technology,technology,false
zerotwo,newsmast.social,Energy & Pollution,energy_pollution,false
zerotwo,newsmast.social,Environment,environment,false
seb_bw,newsmast.social,Technology,technology,false
indiajade_68,newsmast.social,Technology,technology,false
akp,newsmast.social,Space,space,false
dianashurman,newsmast.social,Markets & Finance,markets_finance,false
SithuBo,newsmast.social,Biology,biology,false
dianashurman,newsmast.social,AI,ai,true
dianashurman,newsmast.social,Government & Policy,government_policy,false
ianwalker,newsmast.social,Technology,technology,false
RachelBranson,newsmast.social,Technology,technology,false
zerotwo,newsmast.social,Healthcare,healthcare,false
Roamancing,newsmast.social,Government & Policy,government_policy,false
zerotwo,newsmast.social,Poverty & Inequality,poverty_inequality,false
Bell,newsmast.social,Government & Policy,government_policy,false
askchefdennis,newsmast.social,Technology,technology,true
zerotwo,newsmast.social,Law & Justice,law_justice,false
zerotwo,newsmast.social,Mental Health & Wellbeing,mental_health_wellbeing,false
zerotwo,newsmast.social,Journalism & Comment,news_comment_data,false
zerotwo,newsmast.social,Politics,politics,false
YuliaMHersey,newsmast.social,Technology,technology,false
IZMartinez86,newsmast.social,Government & Policy,government_policy,false
mariana_b,newsmast.social,Government & Policy,government_policy,false
nyeinBinarylab,newsmast.social,Activism & Civil Rights,activism_civil_rights,false
nyeinBinarylab,newsmast.social,Biodiversity & Rewilding,biodiversity_rewilding,false
zerotwo,newsmast.social,Ukraine Invasion,ukraine_invasion,false
nyeinBinarylab,newsmast.social,Black Voices,black_voices,false
zerotwo,newsmast.social,Weather,weather,false
JamesNewsMast,newsmast.social,Gaming,gaming,false
JamesNewsMast,newsmast.social,Food & Drink,food_drink,false
JamesNewsMast,newsmast.social,Government & Policy,government_policy,false
nyeinBinarylab,newsmast.social,Breaking News,breaking_news,false
